,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far From Home
0/0/0000,5/2/2008,6/13/2008,5/7/2010,5/6/2011,7/22/2011,5/4/2012,5/3/2013,11/8/2013,4/4/2014,8/1/2014,5/1/2015,7/17/2015,8/1/2014,5/6/2016,5/5/2017,7/7/2017,11/3/2017,2/16/2018,4/27/2018,7/6/2018,3/8/2019,4/26/2019,7/2/2019
Iron Man,,1,1,,,,,,,,,,,,,,,,,,,,
The Incredible Hulk,,,,,,1,,,,,,,,,,,,,,,,,
Iron Man 2,,,,1,,,,,,,,,,,,,,,,,,,
Thor,,,,,,1,,,,,,,,,,,,,,,,,
Captain America: The First Avenger,,,,,,1,,,,,,,,,,,,,,,1,,
The Avengers,,,,,,,1,1,,1,,,,,,,,,,,,,
Iron Man 3,,,,,,,,,1,,,,,,,,,,,,,,
Thor: The Dark World,,,,,,,,,1,,,,,,,,,,,,,,
Captain America: The Winter Soldier,,,,,,,,,,,1,,,,,,,,,,,,
Guardians of the Galaxy,,,,,,,,,,,1,,,,1,,,,,,,,
Avengers: Age of Ultron,,,,,,,,,,,,1,,1,,,,,,,,,
Ant-Man,,,,,,,,,,,,,1,,,,,,,,,,
Captain America: Civil War,,,,,,,,,,,,,,,,1,,1,,1,,,
Doctor Strange,,,,,,,,,,,,,,,,,1,,,,,,
Guardians of the Galaxy Vol. 2,,,,,,,,,,,,,,,,,,,1,,,,
Spider-Man: Homecoming,,,,,,,,,,,,,,,,,,,1,,,,
Thor: Ragnarok,,,,,,,,,,,,,,,,,,,1,,,,
Black Panther,,,,,,,,,,,,,,,,,,,1,,,,
Avengers: Infinity War,,,,,,,,,,,,,,,,,,,,,,,
Ant-Man and the Wasp,,,,,,,,,,,,,,,,,,,,,,1,
Captain Marvel,,,,,,,,,,,,,,,,,,,,,,1,
Avengers: Endgame,,,,,,,,,,,,,,,,,,,,,,,1
Spider-Man: Far From Home,,,,,,,,,,,,,,,,,,,,,,,
